,full_name,group_id,shrot_name,user_id
0,Mobile Legends: Bang Bang,128776180,mobilelegends,6674825
1,Ищу тебя. Днепр,79719941,dnepr_poisk,6674825
2,Кинолюбители - Лучшие фильмы,48868052,movie_loverss,6674825
3,ТИПИЧНЫЙ ДНЕПР,34441703,typical_dnepr,6674825
4,[BadComedian],25557243,badcomedian,6674825
5,Old PAPA,117405953,oldpapa,6674825
6,Подслушано,34215577,overhear,6674825
7,Уютненькое Луркоморье | Lurkmore,26406986,lurkopub,6674825
8,Лайфхак,40567146,lhack,6674825
9,Лепра,30022666,leprum,6674825
10,В городе Днепр,28635166,vgorodedp,6674825
11,Рецепты,34451036,great.food,6674825
12,Общество скептиков,49014935,skepticsociety,6674825
13,БОРЩ,460389,borsch,6674825
14,ANTROPOGENEZ.RU: эволюция человека,110924669,antropogenez_ru,6674825
15,Днепр. Отзывы о заведениях.,133101477,dnplace,6674825
16,som det skal.,21272906,som_det_skal,6674825
17,Android Blog | Игры на Андроид,23688663,androidblog,6674825
18,Faces of Dnepr | lifestyle,28759874,faces_of_dnepr,6674825
19,Deep House Flight,30084455,flightdeeep,6674825
20,Скептик,34689126,skeptic_magazine,6674825
21,Новости Первого Канала,36280786,com_pic,6674825
22,Новости  группы Учёные против лженауки,42161574,scinews,6674825
23,Just Design - интерьер и декор,42358972,just_d,6674825
24,Android 💙,47710541,guruandroid,6674825
25,Сообщество автомобилистов,47794789,bavto,6674825
26,Grammar Nazi,49437982,blackdolf,6674825
27,Games for Android,49654630,club49654630,6674825
28,Fails of Dnepr - all about us...,52033839,fails_of_dnepr,6674825
29,Стопудівка фест,52815782,stopudivka,6674825
30,DroidPub: Android сообщество,54353735,droidpub,6674825
31,Киномания - лучшее из мира кино,54425888,kino.media,6674825
32,АРЕНДА КВАРТИР ДНЕПРОПЕТРОВСК,56987372,arenda_dnepropetrovsk,6674825
33,Питер: Инструкция по применению,59570153,s.piter4you,6674825
34,Пьяный мехвод,61895330,tankkets,6674825
35,Удачные Кадры | Фотографии и фотографы,64628087,rarephoto,6674825
36,For Men/ одежда и аксесуары,68614025,formensworld,6674825
37,"Паб ""Три ноги""",74573808,pub_tri_nogi,6674825
38,Водители Днепра,80393075,dp_driver,6674825
39,Дневник стартапера,81352731,dnevnikstartup4you,6674825
40,Премия имени Гарри Гудини,88833866,houdiniprize,6674825
41,Магазин Одежды,99391531,magkachestvo,6674825
42,"Съедобный силикон TM ""Fanatik""",99896953,tm_fanatik_ua,6674825
43,Muncau,105227137,muncau,6674825
44,Zabeba.li,109278876,zabebali,6674825
45,Кино Клуб,111213308,classic_films,6674825
46,SIC!,111529651,areusic,6674825
47,Everyday Games - Обзор Игр,111805937,bestforaai,6674825
48,Подслушано Днепр,117507754,dnepr_govorit,6674825
49,Хардкор,119359773,hardchannel,6674825
50,Nik NiceFood | Рецепты и всякое,137346980,niknicefood,6674825
51,Клуб Юристов Украины,27846618,legist_club,6674827
52,Nature|Природа,35285306,vknature,6674827
53,Визуальный английский | English,36775085,learnenglish,6674827
54,"То, что вдохновляет…",38462835,inspiration_cards,6674827
55,"Турагентство Зебра тур Чернигов,Киев! Путёвки.",39935402,zebratours,6674827
56,Архив (не обслуживается),56829936,freenet_o3,6674827
57,"""Т"".""П"".",57867479,club57867479,6674827
58,Словарный запас |Психология| Amazings of History,68573479,slovazap,6674827
59,Клуб здоровья и долголетия,2949553,zdorovie_i_gizn,6674828
60,La_mejora,111068,la_mejora,6674831
61,Злой кондитер 18+,126031031,zloy.konditer,6674833
62,ОРЕШКИ Ижевск. Доставка орехов и сухофруктов.,98206316,oreshkii,6674833
63,Мамы Ижевска,143027530,club_mam_iz,6674833
64,Роллы и пицца FoodBox | Доставка Ижевск,174847224,foodbox18,6674833
65,ГЛИНОМАНИЯ: все о лепке! Полимерная глина!,24487759,glinomania,6674833
